symbol,name,contractAddress,balance,decimals
META,FACEBOOK Metaverse,0x1cf0b4989ad877438aa2e7804192e2ae83a94081,767387143.779415173800484933,18
SHER,Sherpa Inu,0x1d711638558614da2b5464bfae9ee2d161cae56c,150000000000000.0,18
VB,Vitalik Buterin,0x1d755f741377ddb79ba7efa5beaf0305672e6707,100000000000000.0,9
OP,Old President,0x1dd17a5fa45fd9bdc3bfb294c590f0ea0f34e41e,84000000000.0,18
1mlnX,1000000X,0x1e54f50b0ab7421b00af3f08e4c775f37532e5d3,5967283967.295,9
EGL,Ethereum Eagle,0x1e83916ea2ef2d7a6064775662e163b2d4c330a7,100000000.0,18
VB,VITALIK BOY,0x1e8cc81cdf99c060c3ca646394402b5249b3d3a0,15000.0,9
AMD,AMD Metaverse,0x1f7dd05abec2b6f3de5c2623be223fb64c34f87e,767387143.779415173800484933,18
DINGO,Dingo Token,0x1f961bceaef8edf6fb2797c0293ffbde3e994614,450066600000000.0,9
UNI,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0.0000168,18
TWEB3,METAWEB3,0x1facd66783ff574a4e4b2be080803f61072ddab0,10000000.0,18
WSW,Wall Street Wojak,0x1fb44b69ab4d116439bd07d170fed0ef99d3e122,10000000.0,9
UPOOL,UPL,0x1fb7381fa3bc51a7f60321120538cc02e7f0ffd3,50000000.0,18
PooShib,PooShib,0x1fdef14df6d58f6ecca3749924b27b29dc5e5fab,69.0,18
CAL,Calcium,0x20561172f791f915323241e885b4f7d5187c36e1,101.0,18
NASA,NASA Metaverse,0x205c58815d158b38e42b979a81a740dfb2eff15c,767387143.779415173800484933,18
MOONEY,MoonDAO,0x20d4db1946859e2adb0e5acc2eac58047ad41395,12288.555744145196468384,18
SHIT2.0,ShitCoin2.0,0x20dcf69e2ddeeb5d2ab1f8654d3f6cd3757e8e84,6339933957993.053349722255132647,18
DORK,Dork Games,0x213f174d8e3d2ef511a228e1e771d36e67e8ab43,394463764218.551856994921389426,18
BMC,BUMCOIN,0x2147b55284118714fdaed5af34af5cafd1eaed1a,18783.820225983,9
KABOSU,Ethereum Dog,0x216d63892e43fd4d9f42d5cc8f5d4108f047c994,50000000.0,9
HuobiAirdrop.com,Huobi Airdrop HuobiAirdrop.com,0x219b9040eb7d8d8c2e8e84b87ce9ac1c83071980,1000.0,18
MetaMask,MetaMask DAO,0x219de4ae6672a88149cf2fd71c3e5fc4752f3b1a,767387143.779415173800484933,18
SHIKI,SHIKI,0x21ddbcf30d1378b4a3c7b6c9971657ba33190b85,2056967141.795884691,9
WBTC,Wrapped Bitcoin,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.00006167,8
RTT,RetrooooCoin,0x2261c1591fba9b847146f36b081153a39aa4fe3f,10000000000000.0,18
AZU,AzukiCoin,0x22682a51efe7fc012b585daca8075bdeefdc4378,59254.067566865088317658,18
BAYC,BAYC Token,0x22e845cbbafda629c0401de5f23e3f73b0cfa68a,767387143.779415173800484933,18
COF,CRYPTOFORCE,0x230f5ed78a45452f726365b8ad1d6866f5faa68f,17012029.999999997,9
CARS,CardanoStarter,0x2317b6717f568955e5a9fa8cf389904540c476ac,5120979.995160721335518325,18
Nigger,Nigger,0x2347449e8c8e056b475de0846b4aef971631cb3a,156770081446.766664999011293723,18
BAG,tehBag,0x235c8ee913d93c68d2902a8e0b5a643755705726,100000.0,18
PEPE,Pepe,0x2368446f56ea655c207f6a45941852799dc53186,18282887187202.003302536580473459,18
Panasonic,Panasonic Metaverse,0x239c06740b2f932d8cac1e4b0484fcbfb129bcce,767387143.779415173800484933,18
APB,Amber phantom Butterfly,0x23da77203eead71e72d7326654c431ef563567a4,4000.0,18
AIRZACH,Airdrop ZachXBT,0x23dce8d7dc0cad0646b08afdef558a90b41dea21,814787905.36623263,8
FTX Sucks,FTX Sucks,0x23f53515befb57b67b31eccee08dbdd47dfe794f,35991.0,9
BANABANK,BanaBank,0x2443d0467f0be2f5e7bd723eb1ec551105c4e16f,2804767897.042474265223931191,18
Dolce Gabbana,Dolce Gabbana Metaverse,0x2444dee26599504c04319e2ee88adccb390f568b,767387143.779415173800484933,18
1,Golden One,0x247e3603b64873c65d32b93dc16109083073731f,0.98,18
AAPLC,AppleClub,0x2498faae15fc0f6f0423bbf525744b9530bfba6b,511872131636.707423591669114421,18
VERSE,Verse,0x249ca82617ec3dfb2589c4c17ab7ec9765350a18,200.0,18
AUTISM,Autistic Bitcoin,0x24dc510b7170883d0716f3c2f7839300d0627931,1000000.0,18
Unilever,Unilever Metaverse,0x24f4387f0fb61c96b3c6006387c58fb125ec69dc,767387143.779415173800484933,18
ETHEREUM,HarryPotterObamaKnuckles9Inu,0x2577944fd4b556a99cc5aa0f072e4b944aa088df,595.9701,8
RICHPEPE,RICH PEPE,0x258d7a3f50b03a9f75263733fc0c2a155cf512b4,250000000000000.0,18
Epic Games,Epic Games Metaverse,0x25f0aaa1fc941691d7118e696ad84d674d97786c,767387143.779415173800484933,18
RSwap.net,RSwap.net,0x26004d228fc8a32c5bd1a106108c8647a455b04a,300000.0,18
BBETH2.0,Baby Proof of Memes,0x262ede479f56273cf146829f33d63c70a95d9037,500000000000000.0,18
Chanel,Chanel Metaverse,0x26bdfa77809a43fcddf2984f7968177c1744f7ea,767387143.779415173800484933,18
DEXT,DEXTools,0x26ce25148832c04f3d7f26f32478a9fe55197166,2.681493296862813295,18
MBBASED,Moonbase,0x26cf82e4ae43d31ea51e72b663d26e26a75af729,0.123,18
Yahoo,Yahoo Metaverse,0x26e16aba3caea25f44c6e0dc39643b26cbc3ce41,767387143.779415173800484933,18
Sony,Sony Metaverse,0x270f9123a1dd3a2ff458b2b8aa4361c1c977ac61,767387143.779415173800484933,18
Subway,Subway,0x27ba0b3732abb86da6356f0c2178f404e500227a,767387143.779415173800484933,18
SUBREDDIT,SUBREDDIT,0x27ea47a08b021eb5a4a905394522e767493c99b0,5153684.0,9
UET,Useless Ethereum Token,0x27f706edde3ad952ef647dd67e24e38cd0803dd6,48336.41,18
EQUUS,Mustang,0x27fb5310ebe81961872fb9d2a35494dad82e86bd,1000000.0,18
THEINU,The Inu Protocol,0x284748637bfb521cd9baedee345f4cc864bb4ae4,100000000000.0,18
YouTube,YouTube Metaverse,0x28694f142abd24a7a32e65e1159b473950672aef,16842861929.907263983699369324,18
APPLE,Apple metaverse,0x288c72aab7e6d1f688964c95404bc34dc0978528,767387143.779415173800484933,18
COW,CoW Protocol Token,0x289d5488ab09f43471914e572ec9e3651c735af2,147262.181236125262374889,18
ShibTzu,ShibTzu Inu,0x28d4a32e275ebb5f16d14ef924281ddcade9a683,7911.270015691,9
CHICO,Chico Inu,0x29142b6e61bfbee6fdd2540da98fbf997849883f,5432139588.526918624,9
Uber,Uber Metaverse,0x291fe2554ef05a4451565cce5c4e3831d0e64df7,767387143.779415173800484933,18
UPDATE,UPDATE,0x293f152d2265da6afd2f8993b47a01d0a811aa01,100000.0,18
Johnson,Johnson Metaverse,0x294aa2d1e4c531aa8f45101b6ff119f406b5fa73,767387143.779415173800484933,18
SHINSHU,Shinshu Inu,0x2965395f71b7d97ede251e9b63e44dfa9647cc0a,1000000.0,18
Twitter,Twitter Metaverse,0x299bba44a1b1180dd75585f2e6b15b6fff72da69,767387143.779415173800484933,18
PEPEGAME,Pepe Games,0x29cb55e89c17bef33119d4c7c5377e3bd08b3a4c,5446923138689.53097944109726429,18
CLONEX,CLONE X - X TAKASHI MURAKAMI,0x29fa6d4b47fc52f5f67d7925a74aa4f9c4bcb2fa,767387143.779415173800484933,18
ALPHA,Alpha,0x2a61225b5b1deaa5740cfd64a7e150ecbb19ce86,13450302459.982306195487651873,18
HEX,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,1199.50640992,8
VITALIK,ETH PROTECTOR,0x2b6ba25505fdf9f272ee7ce6e694ec1e0df9bd83,50000000.0,9
Visit https://apyeth.com to claim rewards,# apyeth.com,0x2c0b41d1f6a89fe1fb36975b351e976966a49262,1.4,6
SOV,Shib Original Vision,0x2c5bc2ba3614fd27fcc7022ea71d9172e2632c16,200000000.0,18
RG,REAPERS GAMBIT,0x2c91d908e9fab2dd2441532a04182d791e590f2d,10666.0,18
Justdot,DOT,0x2cc16ea905d1d5d63e604071302414e5b76944e5,169159499540.674608902069936749,18
SDETHER.COM,SDETHER.COM,0x2d262c7faa8e03a86d6634bdc6178b3e06cd690b,78413.1643777851078476,18
BANK,Bankless DAO,0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,69.0,18
BABYETH,Baby Ethereum,0x2d94bfdbd982e4e988928ddc2c4cf26d5ff115cd,19905264858607.052298879910772309,18
DBI,Don't Buy Inu,0x2de509bf0014ddf697b220be628213034d320ece,100.0,18
GAMEBOY,Nintendo Gameboy,0x2df495dfc4a24064acc573e9ec9f5bd509b42e40,1500000000.0,18
APE,ApeCoin,0x2e53ca775c5358a41b45cd0407e7d7f7a84c863f,767387143.779415173800484933,18
OASIS,Oasis Finance,0x2e6158d6ac4536e15f47e5752d0a8ccb2c22bccd,7039884.74380526673385996,18
3OH,ThreeOh DAO,0x2e922f84ec5bb9cedfbb1a99543b143aa43d94b6,5201169937.080471864,9
BINANCE,OsamaBinHiddinVitalikBinPutinAK47,0x2f156059eb2b2d10b6dcf5b5bb6ea069185780b3,143437640.29031312,8
Airbnb,Airbnb Metaverse,0x2f273e976bc94d1092ec0f547c3f3ab8e4e89570,767387143.779415173800484933,18
Google,Google Metaverse,0x2f2b771c4be85812577936871bb42407de9560ad,767387143.779415173800484933,18
MSA,Mimosa,0x2f30c8162beab85ca0ec37e20f73f608ebe35bda,23228046338.191113021234826152,18
YUNA,YUNA,0x2f6f397332b0f8b4536430bcc97980aa838f62f9,9092658.519473363322631089,18
ELONPEPE,ElonPepe,0x2f75329c7a829fa23bfde4ca00d98056247b804f,888888.88,18
